text,labels,label_vector
"Connecticut Department Of Public Health’s Comprehensive Cancer Control  Program Calls On Parents and Guardians To Vaccinate Their Kids Against HPV
 
HPV in the United States","['Rec-Children', 'Stance-Recommend', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]"
"Connecticut Department Of Public Health’s Comprehensive Cancer Control  Program Calls On Parents and Guardians To Vaccinate Their Kids Against HPV
 
HPV is responsible for 21,100 new cancer cases in women and 14,800 cases in men each year in the United States.","['Cause of Cancer', 'Rec-Children', 'Stance-Recommend', 'Source Credibility']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]"
"Connecticut Department Of Public Health’s Comprehensive Cancer Control  Program Calls On Parents and Guardians To Vaccinate Their Kids Against HPV
 
However, Commissioner Juthani added that the COVID-19 pandemic has resulted in reduced vaccination rates. Data from the 2019 National Immunization Survey–Teen showed that only 54% of US adolescents aged 13 to 17 were up to date with the HPV vaccine series. An analysis to estimate the impact of the pandemic on HPV vaccination found that vaccination rates were 75 percent lower during the pandemic compared with prior periods. To ensure these adolescents do not fall behind on this vaccine series, providers and researchers will need to recommit to existing strategies to promote vaccination.","['Rec-Children', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
"Connecticut Department Of Public Health’s Comprehensive Cancer Control  Program Calls On Parents and Guardians To Vaccinate Their Kids Against HPV
 
The CDC recommends two doses of HPV vaccine at ages 11 – 12 years, while children who start the HPV vaccine series on or after their 15th birthday need three doses, given over six months.","['Number Doses', 'Rec-Children', 'Stance-Recommend', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
"Breadcrumb
 
Genital Human Papillomavirus (HPV) Infection",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Additional Information and Facts
 
CDC Fact Sheet on HPV",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Can I be treated for HPV or health problems caused by HPV?
 
There is no treatment for the virus itself. However, there are treatments for the health problems that HPV can cause:",['No Cure'],"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Can I be treated for HPV or health problems caused by HPV?
 
Genital warts can be treated by your healthcare provider or with prescription medication. If left untreated, genital warts may go away, stay the same, or grow in size or number.",['Asymptomatic'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Can I be treated for HPV or health problems caused by HPV?
 
Centers for Disease Control and Prevention. (2021, January 19).STD Facts - Human papillomavirus (HPV). Centers for Disease Control and Prevention.https://www.cdc.gov/std/hpv/stdfact-hpv.htm.",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Can I be treated for HPV or health problems caused by HPV?
 
Centers for Disease Control and Prevention. (2016, December 28).HPV Treatment. Centers for Disease Control and Prevention.https://www.cdc.gov/std/hpv/treatment.htm.",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Can I be treated for HPV or health problems caused by HPV?
 
Facebook page for Georgia Department of Public Health",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Can I be treated for HPV or health problems caused by HPV?
 
X (Twitter) page for Georgia Department of Public Health",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Can I be treated for HPV or health problems caused by HPV?
 
Linkedin page for Georgia Department of Public Health",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Can I be treated for HPV or health problems caused by HPV?
 
YouTube page for Georgia Department of Public Health",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Can I be treated for HPV or health problems caused by HPV?
 
Instagram page for Georgia Department of Public Health",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papillomavirus (HPV)
 
Human papillomavirus (HPV) is the most common sexually transmitted infection in the United States. HPV is a common skin virus contracted through direct contact or sexual activity. Approximately 79 million people in the United States are infected with HPV and approximately 14 million will become infected each year. Over 100 HPV types have been found and 40 HPV types can cause cancer in both men and women.","['Sexual Spread', 'Cause of Cancer']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Non-Cancerous HPV Types Can Cause
 
Abnormal Pap results in women",['Asymptomatic'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Cancerous or High Risk HPV Type Can Cause
 
Oral cavity and pharyngeal cancers",['Cause of Cancer'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Cancerous or High Risk HPV Type Can Cause
 
Cervical, vulva and vagina cancer in women","['Cause of Cervical Cancer', 'Cause of Cancer']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Cancerous or High Risk HPV Type Can Cause
 
Anal cancers and genital warts",['Cause of Cancer'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV Transmission
 
HPV is spread through direct contact with an infected person. Most frequently through sexual contact.",['Sexual Spread'],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV Symptoms
 
Warts in oral, nasal, conjunctival areas",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV Complications
 
Persistent infection with high-risk types of HPV is associated with development of cervical cancer. Others are vaginal, penile, vulva and anal cancers, and some oropharyngeal cancers.","['Cause of Cervical Cancer', 'Cause of Cancer']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"VACCINATION
 
The Advisory Committee on Immunization Practices (ACIP) recommends that routine HPV vaccination be initiated for all children at age 11 or 12 years. Vaccination can be started as early as age 9 years. The HPV catch-up series is recommended for all persons through age 26. ACIP did not recommend catch-up vaccination for all adults aged 27 through 45 years, but recognized that some persons who are not adequately vaccinated might be at risk for new HPV infection and might benefit from vaccination in this age range; therefore, ACIP recommended shared clinical decision-making regarding potential HPV vaccination for these person. Gardasil 9 (9vHPV, Merck) is the only HPV vaccine being distributed in the United States.","['Rec-Children', 'Stance-Recommend', 'Stance-Optional', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]"
"Talk to your child’s healthcare provider about the HPV vaccine.
 
Help prevent your child from getting certain types of cancer later in life.Keeping your child safe and healthy is one of your greatest concerns as a parent. So, what if you could help prevent your child from getting cancer when they’re older? You can – by getting them vaccinated against HPV.","['Cancer Prevention', 'Cause of Cancer', 'Prevent Spread', 'Rec-Children', 'Stance-Recommend']","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0]"
"What is HPV and how is it spread?
 
HPV (human papillomavirus) is an infection nearly 85 percent of people will get at some point in their life. For most, this virus will go away on its own. But for some, the infection won’t clear and may cause certain types of cancer years later, including:","['Asymptomatic', 'Cause of Cancer']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"What is HPV and how is it spread?
 
Cervical, vulvar and vaginal cancer in women",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"What is HPV and how is it spread?
 
Oropharyngeal (throat) cancers in men and women",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"What is HPV and how is it spread?
 
Since HPV is spread through sexual contact, it’s recommended adolescents get vaccinated before becoming sexually active and having exposure to the virus. That way the vaccine has time to build immunity and offer the greatest protection throughout their lives.","['Sexual Spread', 'Prevent Spread', 'Rec-Children']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"The HPV vaccine is an effective way to prevent cancer.
 
Since the vaccine was introduced in the United States in 2006, HPV infections, genital warts and cervical precancers have dropped greatly.","['Cancer Prevention', 'Prevent Spread']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"The HPV vaccine is proven to be safe.
 
More than 135 million vaccine doses have been given in the United States, with no serious safety concerns associated with it.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"What else should you know about HPV and the cancers it causes?
 
Every year, approximately 13 million Americans, including teens, become infected with HPV.",['Cause of Cancer'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"What else should you know about HPV and the cancers it causes?
 
Most people don’t know when they have HPV – and it can be spread even when a person has no signs or symptoms of the virus.","['Asymptomatic', 'Cause of Cancer']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Listen to HPV survivor testimonials.
 
Kris's Message - Caregiver/Parent Advocate",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Protect your child from cancer-causing HPV. ASAP.
 
You do everything you can to keep your child safe and healthy. With the HPV vaccine, you can help protect them from getting cancer years down the road. And what parent wouldn’t want that?","['Cancer Prevention', 'Cause of Cancer', 'Prevent Spread', 'Rec-Children']","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"Secondary Navigation Menu
 
ImmunizationCOVID-19FluHPVMpox (MPV)Vaccines for Children ProgramPerinatal Hepatitis BVaccine Storage and HandlingImmunization Registry Information System (IRIS)Ask Me About VaccinesImmunization Data & Reports",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Page-start
 
Measles cases are on the rise globally and here in Illinois the number is increasing as well. Vaccines are 97% effective in preventing this highly contagious disease.  To learn more about this infection and get information on vaccination, go tohttps://dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/measles.html.Learn how to identify measles and the safe and effective vaccine that can prevent this potentially life-threatening infection for adults and children.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Page-start
 
Recorded Webinars2022-2027 Illinois Comprehensive Cancer Control Plan Overview2022-2027 Illinois Comprehensive Cancer Control Plan Prevention2022-2027 Illinois Comprehensive Cancer Control Plan Screening and Early Detection2022-2027 Illinois Comprehensive Cancer Control Plan Diagnosis Treatment Survivorship2022-2027 Illinois Comprehensive Cancer Control Plan Health EquityOral Health Practitioners and Cancer Prevention through HPV Vaccination",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"What is Genital HPV Infection?
 
Genital human papillomavirus (also called HPV) is the most common sexually transmitted infection (STI). There are more than 40 HPV types that can infect the genital areas of males and females. These HPV types can infect the mouth and throat. Most people who become infected with HPV do not even know they have it.","['Asymptomatic', 'Sexual Spread']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV (the virus)
 
Approximately 20 million Americans are currently infected with HPV. Another 6 million people become newly infected each year. HPV is so common that at least 50 percent of sexually active men and women get it at some point in their lives.",['Sexual Spread'],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Other cancers that can be caused by HPV
 
These are less common than cervical cancer. Each year in the United States, there are about:",['Cause of Cancer'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Other cancers that can be caused by HPV
 
500 women who get HPV-associated vaginal cancer",['Cause of Cancer'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Other cancers that can be caused by HPV
 
400 men who get HPV-associated penile cancer",['Cause of Cancer'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Other cancers that can be caused by HPV
 
1,500 women and 5,600 men who get HPV-associated oropharyngeal cancers (cancers of the back of throat including base of tongue and tonsils) [Note: Many of these cancers may be related to tobacco and alcohol use.]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"How do people get genital HPV infections?
 
HPV is passed on through genital contact, most often during vaginal and anal sex. HPV may be passed on during oral sex and genital-to-genital contact. HPV can be passed on between straight and same-sex partners even when the infected partner has no signs or symptoms.","['Asymptomatic', 'Sexual Spread']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"How do people get genital HPV infections?
 
A person can have HPV even if years have passed since he or she had sexual contact with an infected person. Most infected persons do not realize they are infected or that they are passing the virus on to a sex partner. It is also possible to get more than one type of HPV.","['Asymptomatic', 'Sexual Spread']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"How does HPV cause genital warts and cancer?
 
HPV can cause normal cells on infected skin to turn abnormal. Most of the time, you cannot see or feel these cell changes. In most cases, the body fights off HPV naturally and the infected cells then go back to normal. But in cases when the body does not fight off HPV, HPV can cause visible changes in the form of genital warts or cancer. Warts can appear within weeks or months after getting HPV. Cancer often takes years to develop after getting HPV.","['Asymptomatic', 'Cause of Cancer']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"How is genital HPV infection diagnosed?
 
Most women are diagnosed with HPV on the basis of abnormal Pap tests. A Pap test is the primary cancer-screening tool for cervical cancer or pre-cancerous changes in the cervix, many of which are related to HPV. Also, a specific test is available to detect HPV DNA in women. The test may be used in women with mild Pap test abnormalities, or in women older than 30 years of age at the time of Pap testing. The results of HPV DNA testing can help health care providers decide if further tests or treatment are necessary.",['Asymptomatic'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"How is genital HPV infection diagnosed?
 
The HPV tests on the market are only used to help screen women at certain ages and with certain Pap test findings, for cervical cancer. There is no general test for men or women to check one’s overall ""HPV status,"" nor is there an approved HPV test to find HPV on the genitals or in the mouth or throat.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Is there a cure for HPV?
 
There is no “cure” for HPV infection, although in most women the infection goes away on its own. The treatments provided are directed to the changes in the skin or mucous membrane caused by HPV infection, such as warts and pre-cancerous changes in the cervix.",['No Cure'],"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"There is no treatment for the virus itself, but there are treatments for the diseases that HPV can cause
 
Visible genital warts can be removed by the patient with prescribed medications. The warts can also be treated by a health care provider. Some people choose not to treat warts, but to see if they disappear on their own. No one treatment is better than another.",['No Cure'],"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"There is no treatment for the virus itself, but there are treatments for the diseases that HPV can cause
 
Cervical cancer is most treatable when it is diagnosed and treated early. But women who get routine Pap tests and follow up as needed can identify problems before cancer develops. Prevention is always better than treatment.",['No Cure'],"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"There is a way to prevent and try to stop the progression of HPV and the precancerous areas and cancers it can cause
 
The HPV vaccine is safe and effective in preventing the common infection and is recommended for teenagers and adults who were not vaccinated as children.","['Cause of Cancer', 'Prevent Spread', 'Stance-Recommend']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
"What is the connection between HPV infection and cervical cancer?
 
All types of HPV can cause mild Pap test abnormalities which do not have serious consequences. Approximately 10 of the 30 identified genital HPV types can lead, in rare cases, to development of cervical cancer. Research has shown that for most women (90 percent), cervical HPV infection becomes undetectable within two years. Although only a small proportion of women have persistent infection, persistent infection with “high-risk” types of HPV is the main risk factor for cervical cancer.","['Asymptomatic', 'Cause of Cervical Cancer', 'Cause of Cancer']","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"What is the connection between HPV infection and cervical cancer?
 
A Pap test can detect pre-cancerous and cancerous cells on the cervix. Regular Pap testing and careful medical follow-up, with treatment if necessary, can help ensure that pre-cancerous changes in the cervix caused by HPV infection do not develop into life threatening cervical cancer. The Pap test used in U.S. cervical cancer screening programs is responsible for greatly reducing deaths from cervical cancer. For 2004, the American Cancer Society estimates that about 10,520 women will develop invasive cervical cancer and about 3,900 women will die from this disease. Most women who develop invasive cervical cancer have not had regular cervical cancer screening.","['Cause of Cervical Cancer', 'Cause of Cancer']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Publications
 
HPV-Associated Cancers in Illinois I",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Publications
 
HPV-Associated Cancers in Illinois II",['Cause of Cancer'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papillomavirus (HPV)
 
HPV is spread through vaginal, anal and oral sex and can also be spread through genital-to-genital contact.",['Sexual Spread'],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Symptoms
 
Most people with HPV infection do not show symptoms. Some people with the infection may develop genital warts.",['Asymptomatic'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Symptoms
 
Cancers of the head, neck and throat (oropharynx) are themost common HPV-associated cancersin the U.S.Cervical canceris the most common HPV-associated cancer among women and people with a cervix.","['Cause of Cervical Cancer', 'Cause of Cancer']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
